user_id,session_id,session_path,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,stress_self_report,valence,arousal,label_file,dual_task_file,dual_task_n_probes,dual_task_mean_rt_ms,dual_task_success_rate,graphs_120s_count,graphs_30s_count,graphs_5s_count,graph_format,mouse_rows,keyboard_rows,notification_rows,session_duration_minutes,has_nasa_tlx,has_graphs_120s,has_mouse,has_keyboard,has_dual_task,usable
Graja,session_20260515_222448_5cad10,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222448_5cad10,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222448_5cad10/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222448_5cad10/raw/dual_task.csv (empty),,,,,,,,1513,0.0,0.0,0.6,False,False,True,False,False,False
Graja,session_20260515_222548_05a79a,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222548_05a79a,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222548_05a79a/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222548_05a79a/raw/dual_task.csv (empty),,,,,,,,2524,120.0,0.0,1.4,False,False,True,True,False,False
Graja,session_20260515_222916_e5858b,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222916_e5858b,20.0,5.0,5.0,95.0,35.0,20.0,22.0,90.0,80.0,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222916_e5858b/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/Graja/session_20260515_222916_e5858b/labels/dual_task.csv (empty),,,,11.0,41.0,243.0,json,47690,24.0,0.0,20.2,True,True,True,True,False,True
Makki,session_20260525_214154_0a4103,/home/hefouzinho/aam_data_6_1/Data/After update/Makki/session_20260525_214154_0a4103,40.0,30.0,20.0,70.0,20.0,0.0,0.0,90.0,0.0,/home/hefouzinho/aam_data_6_1/Data/After update/Makki/session_20260525_214154_0a4103/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/Makki/session_20260525_214154_0a4103/raw/dual_task.csv,5.0,677.858,0.4,15.0,60.0,360.0,json,254872,1011.0,0.0,29.9,True,True,True,True,True,True
amrdroid,session_20260516_110318_a84820,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_110318_a84820,70.0,74.0,62.0,32.0,45.0,77.0,85.0,35.0,62.0,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_110318_a84820/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_110318_a84820/raw/dual_task.csv,5.0,513.866,0.2,16.0,61.0,361.0,json,10810,98.0,0.0,29.5,True,True,True,True,True,True
amrdroid,session_20260516_114259_b75425,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_114259_b75425,,,,,,,,,,/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_114259_b75425/raw/labels.csv (empty),/home/hefouzinho/aam_data_6_1/Data/After update/amrdroid/session_20260516_114259_b75425/raw/dual_task.csv,5.0,1440.188,0.6,,,,,10855,266.0,0.0,23.4,False,False,True,True,True,False
dem,session_20260510_191823_9a2425,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260510_191823_9a2425,,,,,,,,,,,,,,,0.0,0.0,0.0,,22504,,,30.0,False,False,True,False,False,False
dem,session_20260510_195504_b593cc,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260510_195504_b593cc,,,,,,,,,,,,,,,0.0,0.0,0.0,,2813,,,1.1,False,False,True,False,False,False
dem,session_20260511_095459_8a72ee,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260511_095459_8a72ee,,,,,,,,,,,,,,,0.0,0.0,0.0,,22557,,,30.0,False,False,True,False,False,False
dem,session_20260511_103551_c8d630,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260511_103551_c8d630,,,,,,,,,,,,,,,0.0,0.0,0.0,,21716,,,30.0,False,False,True,False,False,False
dem,session_20260516_170537_bf39bc,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260516_170537_bf39bc,,,,,,,,,,,,,,,,,,,21427,,,9.6,False,False,True,False,False,False
dem,session_20260517_082843_bea015,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_082843_bea015,,,,,,,,,,,,,,,0.0,0.0,0.0,,33106,,,67.1,False,False,True,False,False,False
dem,session_20260517_094738_ce576d,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_094738_ce576d,,,,,,,,,,,,,,,0.0,0.0,0.0,,42591,,,29.8,False,False,True,False,False,False
dem,session_20260517_105229_cb660e,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_105229_cb660e,29.0,29.0,53.0,50.0,50.0,50.0,36.0,50.0,50.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_105229_cb660e/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_105229_cb660e/labels/dual_task.csv (empty),,,,3.0,9.0,49.0,json,5983,644.0,0.0,4.0,True,True,True,True,False,True
dem,session_20260517_113407_c4efba,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_113407_c4efba,58.0,11.0,74.0,44.0,64.0,28.0,68.0,50.0,58.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_113407_c4efba/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_113407_c4efba/raw/dual_task.csv,6.0,2167.4683333333337,1.0,16.0,61.0,361.0,json,23412,340.0,0.0,30.0,True,True,True,True,True,True
dem,session_20260517_121410_2c55a5,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_121410_2c55a5,64.0,30.0,56.0,45.0,53.0,36.0,74.0,36.0,42.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_121410_2c55a5/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260517_121410_2c55a5/raw/dual_task.csv,6.0,1030.445,0.8333333333333334,15.0,60.0,360.0,json,47735,469.0,0.0,29.7,True,True,True,True,True,True
dem,session_20260518_171548_c29868,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_171548_c29868,29.0,40.0,58.0,40.0,32.0,64.0,52.0,38.0,52.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_171548_c29868/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_171548_c29868/raw/dual_task.csv,5.0,1768.7939999999999,1.0,16.0,61.0,361.0,json,65380,762.0,0.0,30.0,True,True,True,True,True,True
dem,session_20260518_184628_9851e6,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_184628_9851e6,59.0,30.0,70.0,50.0,44.0,50.0,62.0,31.0,59.0,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_184628_9851e6/raw/labels.csv,/home/hefouzinho/aam_data_6_1/Data/After update/dem/session_20260518_184628_9851e6/raw/dual_task.csv,12.0,1414.6233333333332,0.9166666666666666,31.0,121.0,721.0,json,70382,3116.0,0.0,60.0,True,True,True,True,True,True
